# ID,label,height,hw_ratio,height_var,root_density,cmass_density,2d_density,2d_hull_area,shape_index,compactness,linearity,sphericity
 145.00000,   1.00000,   1.63000,   0.63051,   0.12941,   0.03681,   0.07362,  24.38917,   6.68329,   0.62111,   0.47279,   0.73872,   0.02873
 146.00000,   1.00000,   1.16000,   0.42758,   0.07349,   0.14729,   0.04651,  17.52739,   7.35991,   0.66326,   0.50114,   0.69289,   0.05049
 147.00000,   1.00000,   1.81000,   0.57088,   0.13689,   0.03030,   0.07407,  29.54489,  10.05250,   0.79456,   0.40926,   0.32458,   0.01380
 148.00000,   1.00000,   1.42000,   0.48231,   0.09072,   0.10334,   0.05167,  37.95597,   8.66794,   0.74486,   0.54785,   0.41794,   0.05678
 149.00000,   1.00000,   1.38000,   0.47903,   0.11693,   0.15265,   0.06231,  38.67935,   8.29900,   0.70390,   0.45106,   0.68884,   0.03678
 150.00000,   1.00000,   1.02000,   0.34186,   0.04219,   0.37864,   0.04207,  34.70938,   8.90249,   0.71876,   0.57610,   0.16877,   0.04941
 151.00000,   1.00000,   1.22000,   0.41011,   0.06721,   0.10989,   0.03297,  20.56602,   8.84955,   0.73964,   0.54649,   0.51425,   0.06119
 152.00000,   1.00000,   1.46000,   0.37920,   0.13261,   0.24412,   0.00000,  37.30312,  14.82450,   0.93323,   0.64147,   0.27397,   0.09621
 153.00000,   1.00000,   1.11000,   0.43618,   0.08930,   0.45455,   0.08333,  20.38217,   6.47625,   0.59577,   0.43408,   0.86257,   0.02662
 154.00000,   1.00000,   0.67000,   0.27437,   0.02944,   0.26415,   0.16038,  17.77638,   5.96297,   0.61226,   0.45880,   0.76892,   0.01440
 155.00000,   1.00000,   0.98000,   0.32660,   0.06011,   0.38125,   0.05000,  17.77098,   9.00344,   0.70471,   0.57186,   0.65022,   0.02830
 156.00000,   1.00000,   1.60000,   0.44301,   0.09520,   0.03010,   0.03344,  22.92205,  13.04421,   0.83991,   0.57574,   0.48642,   0.10033
 157.00000,   1.00000,   1.01000,   0.33180,   0.04489,   0.30225,   0.05145,  33.56448,   9.26575,   0.75253,   0.63338,   0.33721,   0.03857
 158.00000,   1.00000,   1.47000,   0.52022,   0.09341,   0.04305,   0.05629,  37.82185,   7.98480,   0.68887,   0.47753,   0.33384,   0.04359
 159.00000,   1.00000,   0.85000,   0.33209,   0.05631,   0.28467,   0.15328,  20.91250,   6.55110,   0.59182,   0.56008,   0.81440,   0.01506
 160.00000,   1.00000,   1.13000,   0.39766,   0.05318,   0.10471,   0.07853,  23.65338,   8.07495,   0.67853,   0.55485,   0.53502,   0.03052
 161.00000,   1.00000,   1.48000,   0.48471,   0.09079,   0.03195,   0.04473,  33.57319,   9.32291,   0.74616,   0.56962,   0.39785,   0.03805
 162.00000,   1.00000,   1.49000,   0.41069,   0.12091,   0.20399,   0.00000,  34.26378,  13.16259,   0.83750,   0.57416,   0.30522,   0.06266
 163.00000,   1.00000,   0.49000,   0.26417,   0.00435,   1.00000,   0.23585,  30.81022,   3.44042,   0.48160,   0.47162,   0.67877,   0.00962
 164.00000,   1.00000,   1.30000,   0.39062,   0.06639,   0.07692,   0.02473,  32.86405,  11.07593,   0.82109,   0.56642,   0.08926,   0.05823
 165.00000,   1.00000,   1.31000,   0.46718,   0.05767,   0.03731,   0.08209,  17.04267,   7.86262,   0.66368,   0.44264,   0.83127,   0.02300
 166.00000,   1.00000,   1.62000,   0.54073,   0.15960,   0.06215,   0.05085,  19.72006,   8.97563,   0.73534,   0.46408,   0.66714,   0.01320
 167.00000,   1.00000,   0.98000,   0.36063,   0.04264,   0.28873,   0.07042,  19.22863,   7.38482,   0.64720,   0.48454,   0.70372,   0.02773
 168.00000,   1.00000,   1.56000,   0.45652,   0.16400,   0.22280,   0.00000,  33.05695,  11.67682,   0.81086,   0.50923,   0.45262,   0.03140
 169.00000,   1.00000,   1.28000,   0.40536,   0.06256,   0.04420,   0.04420,  36.30585,   9.97085,   0.77520,   0.64156,   0.29192,   0.02769
 170.00000,   1.00000,   1.04000,   0.37259,   0.06068,   0.35094,   0.07170,  34.01365,   7.79099,   0.68924,   0.55574,   0.24195,   0.04154
 171.00000,   1.00000,   1.18000,   0.37250,   0.07002,   0.29097,   0.07023,  29.79662,  10.03469,   0.77194,   0.53147,   0.46269,   0.07472
 172.00000,   1.00000,   1.30000,   0.47643,   0.08321,   0.06383,   0.06383,  25.25039,   7.44543,   0.62733,   0.53126,   0.62648,   0.02584
 173.00000,   1.00000,   1.09000,   0.39251,   0.05778,   0.30909,   0.06182,  35.66071,   7.71157,   0.68925,   0.49585,   0.48120,   0.04296
